Symbol,Name,Exchange,Links
ETHUSD,Ethereum - USD,CRYPTO,
BTCUSD,Bitcoin - USD,CRYPTO,
ADAUSD,Cardano / US Dollar,CRYPTO,
LTCUSD,Litecoin - USD,CRYPTO,
BCHUSD,Bitcoin Cash - USD,CRYPTO,
USDTUSD,Tether - USD,CRYPTO,
EOSUSD,Eos - USD,CRYPTO,
XRPUSD,Ripple - USD,CRYPTO,
SOLUSD,Solana - USD,CRYPTO,
OMGUSD,Omisego - USD,CRYPTO,
XLMUSD,Stellar - USD,CRYPTO,
DASHUSD,Digitalcash - USD,CRYPTO,
XMRUSD,Monero - USD,CRYPTO,
NEOUSD,NEO - USD,CRYPTO,
ZECUSD,Zcash - USD,CRYPTO,
QTUMUSD,Qtum - USD,CRYPTO,
IOTAUSD,Iota - USD,CRYPTO,
ETCUSD,Ethereum Classic - USD,CRYPTO,
BTGUSD,Bitcoin Gold - USD,CRYPTO,
DOGEUSD,Dogecoin - USD,CRYPTO,
DOTUSD,Polkadot - USD,CRYPTO,
BNBUSD,Binance Coin - USD,CRYPTO,
LINKUSD,Chainlink - USD,CRYPTO,
VETUSD,Vechain - USD,CRYPTO,
LUNAUSD,Terra Luna - USD,CRYPTO,
HOTUSD,Holo - USD,CRYPTO,
TRXUSD,Tronix - USD,CRYPTO,
BATUSD,Basic Attention Token - USD,CRYPTO,
ZRXUSD,0X - USD,CRYPTO,
SANUSD,Santiment - USD,CRYPTO,
UNIUSD,Uniswap Governance - USD,CRYPTO,
THETUSD,Theta - USD,CRYPTO,
FILUSD,Filecoin - USD,CRYPTO,
GNTUSD,Golem - USD,CRYPTO,
QASHUSD,Quoine Liquid - USD,CRYPTO,
SNTUSD,Status - USD,,
